Event	ID	Name			Wwise Object Path	Notes
	321009714	Play_Elevator_First_Start			\AMB\Play_Elevator_First_Start	
	1541866734	Play_Fountain			\AMB\Play_Fountain	
	1559944383	Play_RFX_Birds			\AMB\Play_RFX_Birds	
	1927331672	Play_WSB_Amb_Wind			\AMB\Play_WSB_Amb_Wind	
	2203238506	Play_Elevator_First_Stop			\AMB\Play_Elevator_First_Stop	
	4127694467	Play_Pissenlit			\AMB\Play_Pissenlit	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8062124	Elevator_First_Random-001	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\Elevator_First_Random-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Elevator\First\Elevator_First_bld\Generator_Noise_rnd\Elevator_First_Random-001		308764
	31386224	WSB_Amb_RFX_Bird_2_01	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\WSB_Amb_RFX_Bird_2_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Birds\RFX_Birds_rdm\WSB_Amb_RFX_Bird_2_01		192544
	65012393	WSB_Amb_RFX_Bird_6_01	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\WSB_Amb_RFX_Bird_6_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Birds\RFX_Birds_rdm\WSB_Amb_RFX_Bird_6_01		691542
	87403965	Pissenlit_rnd-003	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\Pissenlit_rnd-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Pissenlit\Pissenlit_rnd\Pissenlit_rnd-003		121868
	129602559	WSB_Amb_RFX_Bird_3_01	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\WSB_Amb_RFX_Bird_3_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Birds\RFX_Birds_rdm\WSB_Amb_RFX_Bird_3_01		201586
	138152140	Elevator_First_Start	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\Elevator_First_Start_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Elevator\First\Elevator_First_Start		83412
	165875833	WSB_Amb_RFX_Bird_2_03	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\WSB_Amb_RFX_Bird_2_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Birds\RFX_Birds_rdm\WSB_Amb_RFX_Bird_2_03		172186
	195717372	WSB_Amb_RFX_Bird_4_03	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\WSB_Amb_RFX_Bird_4_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Birds\RFX_Birds_rdm\WSB_Amb_RFX_Bird_4_03		250436
	242075943	WSB_Amb_RFX_Bird_5_03	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\WSB_Amb_RFX_Bird_5_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Birds\RFX_Birds_rdm\WSB_Amb_RFX_Bird_5_03		305952
	330833569	Fountain_Distant_LP	Y:\Desktop\Audio Workshop\JEUX VIDEO\WASABI_PROJECT\Wasabi\Wasabi_WwiseProject\.cache\Mac\SFX\Fountain_Distant_LP_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\ENV_WU\AMB_AM\Fountain\Fountain_Distant_LP		2469664
